No.,DexID,Name,Type 1,Type 2,HP,Strength,Max Strength,Dexterity,Max Dexterity,Vitality,Max Vitality,Special,Max Special,Insight,Max Insight,Ability 1,Ability 2,Hidden Ability,Event Abilities,Unevolved?,Has a form?,Recommended Rank,Gender Type,Legendary,Sprite,Good Starter
137,0137,Porygon,Normal,,3,2,4,1,3,2,5,2,5,2,5,Trace,Download,Analytic,,Yes,,Beginner,N,,porygon.png,Yes
138,0138,Omanyte,Rock,Water,3,1,3,1,3,3,6,2,5,2,4,Swift Swim,Shell Armor,Weak Armor,,Yes,,Beginner,,,omanyte.png,
139,0139,Omastar,Rock,Water,4,2,4,2,4,3,7,3,6,2,5,Swift Swim,Shell Armor,Weak Armor,,,,Ace,,,omastar.png,
140,0140,Kabuto,Rock,Water,3,2,5,2,4,2,5,2,4,2,4,Swift Swim,Battle Armor,Weak Armor,,Yes,,Beginner,,,kabuto.png,
141,0141,Kabutops,Rock,Water,4,3,6,2,5,3,6,2,4,2,5,Swift Swim,Battle Armor,Weak Armor,,,,Ace,,,kabutops.png,
142,0142,Aerodactyl,Rock,Flying,4,3,6,3,7,2,4,2,4,2,5,Rock Head,Pressure,Unnerve,,,Yes,Ace,,,aerodactyl.png,
142,0142M1,Mega-Aerodactyl,Rock,Flying,5,3,7,3,7,2,5,2,5,3,6,Tough Claws,,,,,,Pro,,,aerodactyl-mega.png,
143,0143,Snorlax,Normal,,8,3,6,1,3,2,4,2,4,3,6,Immunity,Thick Fat,Gluttony,,,,Amateur,,,snorlax.png,
144,0144,Articuno,Ice,Flying,4,5,5,5,5,6,6,6,6,7,7,Pressure,,Snow Cloak,,,,Master,N,Yes,articuno.png,
144,0144G,Galarian Articuno (provisional),Psychic,Flying,4,5,5,6,6,5,5,7,7,6,6,Competitive,,,,,,Master,N,Yes,articuno-galar.png,
145,0145,Zapdos,Electric,Flying,4,5,5,6,6,5,5,7,7,5,5,Pressure,,Static,,,,Master,N,Yes,zapdos.png,
145,0145G,Galarian Zapdos (provisional),Fighting,Flying,4,7,7,6,6,5,5,5,5,5,5,Defiant,,,,,,Master,N,Yes,zapdos-galar.png,
146,0146,Moltres,Fire,Flying,4,6,6,5,5,5,5,7,7,5,5,Pressure,,Flame Body,,,,Master,N,Yes,moltres.png,
146,0146G,Galarian Moltres (provisional),Dark,Flying,4,5,5,5,5,5,5,6,6,7,7,Berserk,,,,,,Master,N,Yes,moltres-galar.png,
147,0147,Dratini,Dragon,,3,2,4,2,4,2,4,2,4,2,4,Shed Skin,,Marvel Scale,,Yes,,Amateur,,,dratini.png,Yes
148,0148,Dragonair,Dragon,,6,2,5,2,5,2,4,2,5,2,5,Shed Skin,,Marvel Scale,,Yes,,Ace,,,dragonair.png,
149,0149,Dragonite,Dragon,Flying,6,3,7,2,5,3,6,3,6,3,6,Inner Focus,,Multiscale,,,,Master,,,dragonite.png,
150,0150,Mewtwo,Psychic,,5,6,6,7,7,5,5,8,8,5,5,Pressure,,Unnerve,,,Yes,Master,N,Yes,mewtwo.png,
150,0150M1,Mega-Mewtwo X,Psychic,Fighting,6,9,9,7,7,6,6,7,7,6,6,Steadfast,,,,,,Master,N,Yes,mewtwo-mega-x.png,
150,0150M2,Mega-Mewtwo Y,Psychic,,6,8,8,7,7,5,5,10,10,7,7,Insomnia,,,,,,Master,N,Yes,mewtwo-mega-y.png,
151,0151,Mew,Psychic,,5,6,6,6,6,6,6,6,6,6,6,Synchronize,,,,,,Master,N,Yes,mew.png,
152,0152,Chikorita,Grass,,3,2,4,2,4,2,4,2,4,2,4,Overgrow,,Leaf Guard,,Yes,,Starter,,,chikorita.png,Yes
153,0153,Bayleef,Grass,,4,2,4,2,4,2,5,2,4,2,5,Overgrow,,Leaf Guard,,Yes,,Amateur,,,bayleef.png,
154,0154,Meganium,Grass,,5,2,5,2,5,3,6,2,5,3,6,Overgrow,,Leaf Guard,,,Yes,Ace,,,meganium.png,
155,0155,Cyndaquil,Fire,,3,2,4,2,4,1,3,2,4,2,4,Blaze,,Flash Fire,,Yes,,Starter,,,cyndaquil.png,Yes
156,0156,Quilava,Fire,,4,2,4,2,5,2,4,2,5,2,4,Blaze,,Flash Fire,,Yes,,Amateur,,,quilava.png,
157,0157,Typhlosion,Fire,,5,2,5,3,6,2,5,3,6,2,5,Blaze,,Flash Fire,,,Yes,Ace,,,typhlosion.png,
158,0158,Totodile,Water,,3,2,4,1,3,2,4,1,3,2,4,Torrent,,Sheer Force,,Yes,,Beginner,,,totodile.png,Yes
159,0159,Croconaw,Water,,4,2,5,2,4,2,5,2,4,2,4,Torrent,,Sheer Force,,Yes,,Amateur,,,croconaw.png,
160,0160,Feraligatr,Water,,5,3,6,2,5,3,6,2,5,2,5,Torrent,,Sheer Force,,,Yes,Ace,,,feraligatr.png,
161,0161,Sentret,Normal,,3,2,4,1,3,1,3,1,3,2,4,Run Away,Keen Eye,Frisk,,Yes,,Starter,,,sentret.png,Yes
162,0162,Furret,Normal,,4,2,5,2,4,2,4,2,4,2,5,Run Away,Keen Eye,Frisk,,,,Amateur,,,furret.png,
163,0163,Hoothoot,Normal,Flying,3,1,3,1,3,1,3,2,4,2,4,Insomnia,Keen Eye,Tinted Lens,,Yes,,Beginner,,,hoothoot.png,Yes
164,0164,Noctowl,Normal,Flying,5,2,5,2,5,2,4,2,5,3,6,Insomnia,Keen Eye,Tinted Lens,,,,Amateur,,,noctowl.png,
165,0165,Ledyba,Bug,Flying,3,1,3,2,4,1,3,1,3,2,5,Swarm,Early Bird,Rattled,,Yes,,Beginner,,,ledyba.png,Yes
166,0166,Ledian,Bug,Flying,4,1,3,2,5,2,4,2,4,3,6,Swarm,Early Bird,Iron Fist,,,,Amateur,,,ledian.png,
167,0167,Spinarak,Bug,Poison,3,2,4,1,3,1,3,1,3,1,3,Swarm,Insomnia,Sniper,,Yes,,Starter,,,spinarak.png,Yes
168,0168,Ariados,Bug,Poison,4,2,5,1,3,2,5,2,4,2,5,Swarm,Insomnia,Sniper,,,,Amateur,,,ariados.png,
169,0169,Crobat,Poison,Flying,5,2,5,3,7,2,5,2,5,2,5,Inner Focus,,Infiltrator,,,,Ace,,,crobat.png,
170,0170,Chinchou,Water,Electric,3,1,3,2,4,1,3,2,4,2,4,Volt Absorb,Illuminate,Water Absorb,,Yes,,Beginner,,,chinchou.png,Yes
171,0171,Lanturn,Water,Electric,6,2,4,2,4,2,4,2,5,2,5,Volt Absorb,Illuminate,Water Absorb,,,,Amateur,,,lanturn.png,
172,0172,Pichu,Electric,,3,1,3,2,4,1,2,1,3,1,3,Static,,Lightning Rod,,Yes,,Starter,,,pichu.png,Yes
173,0173,Cleffa,Fairy,,3,1,3,1,2,1,3,2,4,2,4,Cute Charm,Magic Guard,Friend Guard,,Yes,,Starter,,,cleffa.png,Yes
174,0174,Igglybuff,Normal,Fairy,3,1,3,1,2,1,2,1,3,1,3,Cute Charm,Competitive,Friend Guard,,Yes,,Starter,,,igglybuff.png,Yes
175,0175,Togepi,Fairy,,3,1,3,1,3,2,4,1,3,2,4,Hustle,Serene Grace,Super Luck,,Yes,,Starter,,,togepi.png,Yes
176,0176,Togetic,Fairy,Flying,4,1,3,1,3,2,5,2,5,3,6,Hustle,Serene Grace,Super Luck,,Yes,,Amateur,,,togetic.png,
177,0177,Natu,Psychic,Flying,3,2,4,2,5,2,4,2,5,2,4,Synchronize,Early Bird,Magic Bounce,,Yes,,Beginner,,,xatu.png,Yes
178,0178,Xatu,Psychic,Flying,4,2,5,3,6,2,5,3,6,2,5,Synchronize,Early Bird,Magic Bounce,,,,Amateur,,,xatu.png,
179,0179,Mareep,Electric,,3,1,3,1,3,1,3,2,4,2,4,Static,,Plus,,Yes,,Beginner,,,mareep.png,Yes
180,0180,Flaaffy,Electric,,4,2,4,2,4,2,4,2,5,2,4,Static,,Plus,,Yes,,Amateur,,,flaaffy.png,
181,0181,Ampharos,Electric,,5,2,5,2,4,2,5,3,6,2,5,Static,,Plus,,,Yes,Ace,,,ampharos.png,
181,0181M1,Mega-Ampharos,Electric,Dragon,6,3,6,2,4,3,6,4,8,3,6,Mold Breaker,,,,,,Pro,,,ampharos-mega.png,
182,0182,Bellossom,Grass,,5,2,5,2,4,2,5,2,5,3,6,Chlorophyll,,Healer,,,,Amateur,,,bellossom.png,
183,0183,Marill,Water,Fairy,4,1,3,1,3,2,4,1,3,2,4,Thick Fat,Huge Power,Sap Sipper,,Yes,,Beginner,,,marill.png,Yes
184,0184,Azumarill,Water,Fairy,5,2,4,2,4,2,5,2,4,2,5,Thick Fat,Huge Power,Sap Sipper,,,,Amateur,,,azumarill.png,
185,0185,Sudowoodo,Rock,,4,3,6,1,3,3,6,1,3,2,4,Sturdy,Rock Head,Rattled,,,Yes,Amateur,,,sudowoodo.png,
186,0186,Politoed,Water,,5,2,5,2,4,2,5,2,5,3,6,Water Absorb,Damp,Drizzle,,,Yes,Amateur,,,politoed.png,
187,0187,Hoppip,Grass,Flying,3,1,3,2,4,1,3,1,3,2,4,Chlorophyll,Leaf Guard,Infiltrator,,Yes,,Starter,,,hoppip.png,Yes
188,0188,Skiploom,Grass,Flying,4,2,4,2,5,2,4,2,4,2,4,Chlorophyll,Leaf Guard,Infiltrator,,Yes,,Beginner,,,skiploom.png,
189,0189,Jumpluff,Grass,Flying,5,2,4,3,6,2,5,2,4,2,5,Chlorophyll,Leaf Guard,Infiltrator,,,,Amateur,,,jumpluff.png,
190,0190,Aipom,Normal,,3,2,5,2,5,2,4,1,3,2,4,Run Away,Pickup,Skill Link,,Yes,,Beginner,,,aipom.png,Yes
191,0191,Sunkern,Grass,,3,1,3,1,3,1,3,1,3,1,3,Chlorophyll,Solar Power,Early Bird,,Yes,,Starter,,,sunkern.png,Yes
192,0192,Sunflora,Grass,,4,2,5,1,3,2,4,3,6,2,5,Chlorophyll,Solar Power,Early Bird,,,Yes,Beginner,,,sunflora.png,
193,0193,Yanma,Bug,Flying,3,2,4,3,6,2,4,2,5,2,4,Speed Boost,Compound Eyes,Frisk,,Yes,,Amateur,,,yanma.png,Yes
194,0194,Wooper,Water,Ground,3,2,4,1,2,2,4,1,3,1,3,Damp,Water Absorb,Unaware,,Yes,,Beginner,,,wooper.png,Yes
195,0195,Quagsire,Water,Ground,4,2,5,1,3,3,6,2,4,2,4,Damp,Water Absorb,Unaware,,,,Amateur,,,quagsire.png,
196,0196,Espeon,Psychic,,4,2,4,3,6,2,4,3,7,3,6,Synchronize,,Magic Bounce,,,,Amateur,,,espeon.png,
197,0197,Umbreon,Dark,,4,2,4,2,4,3,6,2,4,3,7,Synchronize,,Inner Focus,,,,Amateur,,,umbreon.png,
198,0198,Murkrow,Dark,Flying,3,2,5,1,3,2,5,2,5,1,3,Insomnia,Super Luck,Prankster,,Yes,,Beginner,,,murkrow.png,Yes
199,0199,Slowking,Water,Psychic,4,2,5,1,3,2,5,3,6,3,6,Oblivious,Own Tempo,Regenerator,,,,Ace,,,slowking.png,
199,0199G,Galarian Slowking (provisional),Poison,Psychic,4,2,4,1,3,2,4,3,6,3,6,Curious Medicine,Own Tempo,Regenerator,,,,Ace,,,slowking-galar.png,
200,0200,Misdreavus,Ghost,,3,2,4,2,5,2,4,2,5,2,5,Levitate,,,,Yes,,Amateur,,,misdreavus.png,Yes
201,0201,Unown,Psychic,,4,2,5,2,4,2,4,2,5,2,4,Levitate,,,,,,Starter,N,,unown.png,
202,0202,Wobbuffet,Psychic,,9,1,3,1,3,3,6,1,3,3,6,Shadow Tag,,Telepathy,,,,Amateur,,,wobbuffet.png,
203,0203,Girafarig,Normal,Psychic,4,2,5,2,5,2,4,2,5,2,4,Inner Focus,Early Bird,Sap Sipper,,,Yes,Amateur,,,girafarig.png,
204,0204,Pineco,Bug,,3,2,4,1,2,2,5,1,3,1,3,Sturdy,,Overcoat,,Yes,,Beginner,,,pineco.png,Yes
205,0205,Forretress,Bug,Steel,4,2,5,1,3,3,7,2,4,2,4,Sturdy,,Overcoat,,,,Amateur,,,forretress.png,
206,0206,Dunsparce,Normal,,5,2,5,2,4,2,5,2,4,2,4,Serene Grace,Run Away,Rattled,,,,Amateur,,,dunsparce.png,
207,0207,Gligar,Ground,Flying,3,2,5,2,5,3,6,1,3,2,4,Hyper Cutter,Sand Veil,Immunity,,Yes,,Beginner,,,gligar.png,Yes
208,0208,Steelix,Steel,Ground,9,2,5,1,3,5,10,2,4,2,4,Rock Head,Sturdy,Sheer Force,,,Yes,Pro,,,steelix.png,
208,0208M1,Mega-Steelix,Steel,Ground,10,3,7,1,2,5,11,2,4,3,6,Sand Force,,,,,,Master,,,steelix-mega.png,
209,0209,Snubbull,Fairy,,3,2,5,1,3,2,4,1,3,1,3,Intimidate,Run Away,Rattled,,Yes,,Starter,,,snubbull.png,Yes
210,0210,Granbull,Fairy,,4,3,7,2,4,2,5,2,4,2,4,Intimidate,Quick Feet,Rattled,,,,Beginner,,,granbull.png,
211,0211,Qwilfish,Water,Poison,4,3,6,2,5,2,5,2,4,2,4,Poison Point,Swift Swim,Intimidate,,,,Amateur,,,qwilfish.png,
212,0212,Scizor,Bug,Steel,4,3,7,2,4,3,6,2,4,2,4,Swarm,Technician,Light Metal,,,Yes,Ace,,,scizor.png,
212,0212M1,Mega-Scizor,Bug,Steel,5,4,8,2,5,3,7,2,4,3,6,Technician,,,,,,Pro,,,scizor-mega.png,
213,0213,Shuckle,Bug,Rock,4,1,2,1,2,5,10,1,2,5,10,Sturdy,Gluttony,Contrary,,,,Amateur,,,shuckle.png,
214,0214,Heracross,Bug,Fighting,4,3,6,2,5,2,5,1,3,3,6,Swarm,Guts,Moxie,,,Yes,Amateur,,,heracross.png,
214,0214M1,Mega-Heracross,Bug,Fighting,5,4,9,2,5,3,6,1,2,3,6,Skill Link,,,,,,Ace,,,heracross-mega.png,
215,0215,Sneasel,Dark,Ice,3,3,6,3,6,2,4,1,3,2,5,Inner Focus,Keen Eye,Pickpocket,,Yes,,Amateur,,,sneasel.png,Yes
216,0216,Teddiursa,Normal,,3,2,5,1,3,2,4,2,4,2,4,Pickup,Quick Feet,Honey Gather,,Yes,,Beginner,,,teddiursa.png,
217,0217,Ursaring,Normal,,4,3,7,2,4,2,5,2,5,2,5,Guts,Quick Feet,Unnerve,,,,Ace,,,ursaring.png,
218,0218,Slugma,Fire,,3,1,3,1,3,1,3,2,4,1,3,Magma Armor,Flame Body,Weak Armor,,Yes,,Beginner,,,slugma.png,
219,0219,Magcargo,Fire,Rock,4,2,4,1,3,3,7,2,5,2,5,Magma Armor,Flame Body,Weak Armor,,,Yes,Amateur,,,magcargo.png,
220,0220,Swinub,Ice,Ground,3,2,4,2,4,1,3,1,3,1,3,Oblivious,Snow Cloak,Thick Fat,,Yes,,Beginner,,,swinub.png,Yes
221,0221,Piloswine,Ice,Ground,4,3,6,2,4,2,5,2,4,2,4,Oblivious,Snow Cloak,Thick Fat,,Yes,,Amateur,,,piloswine.png,
222,0222,Corsola,Water,Rock,4,2,4,1,3,3,6,2,4,3,6,Hustle,Natural Cure,Regenerator,,,,Amateur,,,corsola.png,
222,0222G,Galarian Corsola,Ghost,,3,2,4,1,3,3,6,2,4,3,6,Weak Armor,,Cursed Body,,Yes,,Amateur,,,corsola-galar.png,
223,0223,Remoraid,Water,,3,2,4,2,4,1,3,2,4,1,3,Hustle,Sniper,Moody,,Yes,,Beginner,,,remoraid.png,Yes
224,0224,Octillery,Water,,4,3,6,2,4,2,5,3,6,2,5,Suction Cups,Sniper,Moody,,,,Amateur,,,octillery.png,
225,0225,Delibird,Ice,Flying,4,2,4,2,5,2,4,2,4,2,4,Vital Spirit,Hustle,Insomnia,,,,Amateur,,,delibird.png,
226,0226,Mantine,Water,Flying,4,1,3,2,5,2,5,2,5,3,7,Swift Swim,Water Absorb,Water Veil,,,,Amateur,,,mantine.png,
227,0227,Skarmory,Steel,Flying,4,2,5,2,5,3,7,1,3,2,5,Keen Eye,Sturdy,Weak Armor,,,,Ace,,,skarmory.png,
228,0228,Houndour,Dark,Fire,3,2,4,2,4,1,3,2,5,2,4,Early Bird,Flash Fire,Unnerve,,Yes,,Beginner,,,houndour.png,Yes
229,0229,Houndoom,Dark,Fire,4,2,5,3,6,2,4,3,6,2,5,Early Bird,Flash Fire,Unnerve,,,Yes,Amateur,,,houndoom.png,
229,0229M1,Mega-Houndoom,Dark,Fire,5,2,5,3,6,2,5,4,8,2,5,Solar Power,,,,,,Ace,,,houndoom-mega.png,
230,0230,Kingdra,Water,Dragon,5,3,6,2,5,3,6,3,6,3,6,Swift Swim,Sniper,Damp,,,,Ace,,,kingdra.png,
231,0231,Phanpy,Ground,,3,2,4,1,3,2,4,1,3,1,3,Pickup,,Sand Veil,,Yes,,Beginner,,,phanpy.png,Yes
232,0232,Donphan,Ground,,4,3,7,2,4,3,6,2,4,2,4,Pickup,,Sand Veil,,,,Amateur,,,donphan.png,
233,0233,Porygon2,Normal,,4,2,5,2,4,2,5,3,6,3,6,Trace,Download,Analytic,,Yes,,Ace,N,,porygon2.png,
234,0234,Stantler,Normal,,5,3,6,2,5,2,4,1,5,2,4,Intimidate,Frisk,Sap Sipper,,,,Amateur,,,stantler.png,
235,0235,Smeargle,Normal,,4,1,3,3,6,2,4,1,3,3,6,Own Tempo,Technician,Moody,,,,Amateur,,,smeargle.png,
236,0236,Tyrogue,Fighting,,3,1,3,1,3,1,3,1,3,1,3,Guts,Steadfast,Vital Spirit,,Yes,,Beginner,M,,tyrogue.png,Yes
237,0237,Hitmontop,Fighting,,4,3,6,2,5,3,6,1,3,3,6,Intimidate,Technician,Steadfast,,,,Ace,,,hitmontop.png,
238,0238,Smoochum,Ice,Psychic,3,1,3,2,4,1,2,2,5,2,4,Oblivious,Forewarn,Hydration,,Yes,,Starter,F,,smoochum.png,Yes
239,0239,Elekid,Electric,,3,2,4,2,5,1,3,2,4,2,4,Static,,Vital Spirit,,Yes,,Beginner,,,elekid.png,Yes
240,0240,Magby,Fire,,3,2,4,2,4,1,3,1,3,1,3,Flame Body,,Vital Spirit,,Yes,,Beginner,,,magby.png,Yes
241,0241,Miltank,Normal,,4,2,5,3,6,3,6,1,3,2,5,Thick Fat,Scrappy,Sap Sipper,,,Yes,Amateur,F,,miltank.png,
242,0242,Blissey,Normal,,12,1,2,2,4,1,2,2,5,3,7,Natural Cure,Serene Grace,Healer,,,,Ace,F,,blissey.png,
243,0243,Raikou,Electric,,4,5,5,7,7,5,5,6,6,6,6,Pressure,,Inner Focus,,,,Master,N,Yes,raikou.png,
244,0244,Entei,Fire,,5,7,7,6,6,5,5,5,5,5,5,Pressure,,Inner Focus,,,,Master,N,Yes,entei.png,
245,0245,Suicune,Water,,5,5,5,5,5,6,6,5,5,6,6,Pressure,,Inner Focus,,,,Master,N,Yes,suicune.png,
246,0246,Larvitar,Rock,Ground,3,2,4,1,3,2,4,2,4,2,4,Guts,,Sand Veil,,Yes,,Amateur,,,larvitar.png,Yes
247,0247,Pupitar,Rock,Ground,4,2,5,2,4,2,5,2,4,2,5,Shed Skin,,,,Yes,,Ace,,,pupitar.png,
248,0248,Tyranitar,Rock,Dark,6,3,7,2,5,3,6,3,6,3,6,Sand Stream,,Unnerve,,,Yes,Pro,,,tyranitar.png,
248,0248M1,Mega-Tyranitar,Rock,Dark,7,4,8,2,5,4,8,3,6,3,7,Sand Stream,,,,,,Master,,,tyranitar-mega.png,
249,0249,Lugia,Flying,Psychic,6,5,5,6,6,7,7,5,5,7,7,Pressure,,Multiscale,,,,Master,N,Yes,lugia.png,
250,0250,Ho-oh,Fire,Flying,5,7,7,5,5,5,5,6,6,7,7,Pressure,,Regenerator,,,,Master,N,Yes,ho-oh.png,
251,0251,Celebi,Grass,Psychic,5,6,6,6,6,6,6,6,6,6,6,Natural Cure,,,,,,Master,N,Yes,celebi.png,
252,0252,Treecko,Grass,,3,2,4,2,5,1,3,2,4,2,4,Overgrow,,Unburden,,Yes,,Beginner,,,treecko.png,Yes
253,0253,Grovyle,Grass,,4,2,4,3,6,2,4,2,5,2,4,Overgrow,,Unburden,,Yes,,Amateur,,,grovyle.png,
254,0254,Sceptile,Grass,,5,2,5,3,7,2,4,3,6,2,5,Overgrow,,Unburden,,,Yes,Ace,,,sceptile.png,
254,0254M1,Mega-Sceptile,Grass,Dragon,6,3,6,4,8,2,5,4,8,2,5,Lightning Rod,,,,,,Pro,,,sceptile-mega.png,
255,0255,Torchic,Fire,,3,2,4,2,4,1,3,2,5,2,4,Blaze,,Speed Boost,,Yes,,Starter,,,torchic.png,Yes
256,0256,Combusken,Fire,Fighting,4,2,5,2,4,2,4,2,5,2,4,Blaze,,Speed Boost,,Yes,,Amateur,,,combusken.png,
257,0257,Blaziken,Fire,Fighting,5,3,7,2,5,2,5,3,6,2,5,Blaze,,Speed Boost,,,Yes,Ace,,,blaziken.png,
257,0257M1,Mega-Blaziken,Fire,Fighting,6,4,8,3,6,2,5,3,7,2,5,Speed Boost,,,,,,Pro,,,blaziken-mega.png,
258,0258,Mudkip,Water,,3,2,5,1,3,2,4,2,4,2,4,Torrent,,Damp,,Yes,,Starter,,,mudkip.png,Yes
259,0259,Marshtomp,Water,Ground,4,2,5,2,4,2,5,2,4,2,5,Torrent,,Damp,,Yes,,Amateur,,,marshtomp.png,
260,0260,Swampert,Water,Ground,6,3,6,2,4,2,5,2,5,2,5,Torrent,,Damp,,,Yes,Ace,,,swampert.png,
260,0260M1,Mega-Swampert,Water,Ground,7,4,8,2,5,3,6,3,6,3,6,Swift Swim,,,,,,Pro,,,swampert-mega.png,
261,0261,Poochyena,Dark,,3,2,4,2,4,1,3,1,3,1,3,Run Away,Quick Feet,Rattled,,Yes,,Beginner,,,poochyena.png,Yes
262,0262,Mightyena,Dark,,4,3,6,2,5,2,5,2,4,2,4,Intimidate,Quick Feet,Moxie,,,,Amateur,,,mightyena.png,
263,0263,Zigzagoon,Normal,,3,1,3,2,4,1,3,1,3,1,3,Pickup,Gluttony,Quick Feet,,Yes,,Beginner,,,zigzagoon.png,Yes
263,0263G,Galarian Zigzagoon,Dark,Normal,3,1,3,2,4,1,3,1,3,1,3,Pickup,Gluttony,Quick Feet,,,,Beginner,,,zigzagoon-galar.png,Yes
264,0264,Linoone,Normal,,4,2,5,3,6,2,4,2,4,2,4,Pickup,Gluttony,Quick Feet,,,,Amateur,,,linoone.png,
264,0264G,Galarian Linoone,Dark,Normal,4,2,5,3,6,2,4,2,4,2,4,Pickup,Gluttony,Quick Feet,,Yes,,Amateur,,,linoone-galar.png,
265,0265,Wurmple,Bug,,3,2,4,1,3,1,3,1,3,1,3,Shield Dust,,Run Away,,Yes,,Starter,,,wurmple.png,Yes
266,0266,Silcoon,Bug,,4,2,4,1,2,2,4,1,3,1,3,Shed Skin,,,,Yes,,Beginner,,,silcoon.png,Yes
267,0267,Beautifly,Bug,Flying,5,2,5,2,4,2,4,3,6,2,4,Swarm,,Rivalry,,,,Amateur,,,beautifly.png,
268,0268,Cascoon,Bug,,4,2,4,1,2,2,4,1,3,1,3,Shed Skin,,,,Yes,,Beginner,,,cascoon.png,Yes
269,0269,Dustox,Bug,Poison,5,2,4,2,4,3,6,2,4,2,5,Shield Dust,,Compound Eyes,,,,Amateur,,,dustox.png,
270,0270,Lotad,Water,Grass,3,1,3,1,3,1,3,1,3,2,4,Swift Swim,Rain Dish,Own Tempo,,Yes,,Starter,,,lotad.png,Yes
271,0271,Lombre,Water,Grass,4,2,4,2,4,2,4,2,4,2,5,Swift Swim,Rain Dish,Own Tempo,,Yes,,Beginner,,,lombre.png,
272,0272,Ludicolo,Water,Grass,5,2,5,2,5,2,5,2,5,3,6,Swift Swim,Rain Dish,Own Tempo,,,,Amateur,,,ludicolo.png,
273,0273,Seedot,Grass,,3,1,3,1,3,2,4,1,3,1,3,Chlorophyll,Early Bird,Pickpocket,,Yes,,Starter,,,seedot.png,Yes
274,0274,Nuzleaf,Grass,Dark,4,2,5,2,4,2,4,2,4,1,3,Chlorophyll,Early Bird,Pickpocket,,Yes,,Beginner,,,nuzleaf.png,
275,0275,Shiftry,Grass,Dark,5,3,6,2,5,2,4,2,5,2,4,Chlorophyll,Early Bird,Pickpocket,,,Yes,Amateur,,,shiftry.png,
276,0276,Taillow,Normal,Flying,3,2,4,2,5,1,3,1,3,1,3,Guts,,Scrappy,,Yes,,Beginner,,,taillow.png,Yes
277,0277,Swellow,Normal,Flying,4,2,5,3,7,2,4,2,5,2,4,Guts,,Scrappy,,,,Amateur,,,swellow.png,
278,0278,Wingull,Water,Flying,3,1,3,2,5,1,3,2,4,1,3,Keen Eye,Hydration,Rain Dish,,Yes,,Beginner,,,wingull.png,Yes
279,0279,Pelipper,Water,Flying,4,2,4,2,4,3,6,2,5,2,5,Keen Eye,Drizzle,Rain Dish,,,,Amateur,,,pelipper.png,
280,0280,Ralts,Psychic,Fairy,3,1,3,1,3,1,3,2,4,1,3,Synchronize,Trace,Telepathy,,Yes,,Beginner,,,ralts.png,Yes
281,0281,Kirlia,Psychic,Fairy,4,1,3,2,4,1,3,2,4,2,4,Synchronize,Trace,Telepathy,,Yes,,Amateur,,,kirlia.png,
282,0282,Gardevoir,Psychic,Fairy,5,2,4,2,5,2,4,3,7,3,6,Synchronize,Trace,Telepathy,,,Yes,Ace,,,gardevoir.png,
282,0282M1,Mega-Gardevoir,Psychic,Fairy,6,2,5,3,6,2,4,4,8,3,7,Pixilate,,,,,,Pro,,,gardevoir-mega.png,
283,0283,Surskit,Bug,Water,3,1,3,2,4,1,3,2,4,2,4,Swift Swim,,Rain Dish,,Yes,,Beginner,,,surskit.png,Yes
284,0284,Masquerain,Bug,Flying,4,2,4,2,5,2,4,3,6,2,5,Intimidate,,Unnerve,,,,Amateur,,,masquerain.png,
285,0285,Shroomish,Grass,,3,2,4,1,3,2,4,1,3,2,4,Effect Spore,Poison Heal,Quick Feet,,Yes,,Beginner,,,shroomish.png,Yes
286,0286,Breloom,Grass,Fighting,4,3,7,2,5,2,5,2,4,2,4,Effect Spore,Poison Heal,Technician,,,,Amateur,,,breloom.png,
287,0287,Slakoth,Normal,,3,2,4,1,3,2,4,1,3,1,3,Truant,,,,Yes,,Starter,,,slakoth.png,Yes
288,0288,Vigoroth,Normal,,4,2,5,2,5,2,5,2,4,2,4,Vital Spirit,,,,Yes,,Amateur,,,vigoroth.png,
289,0289,Slaking,Normal,,8,4,8,3,6,3,6,2,5,2,4,Truant,,,,,,Ace,,,slaking.png,
290,0290,Nincada,Bug,Ground,3,2,4,1,3,2,5,1,3,1,3,Compound Eyes,,Run Away,,Yes,,Beginner,,,nincada.png,Yes
291,0291,Ninjask,Bug,Flying,4,2,5,4,8,2,4,2,4,2,4,Speed Boost,,Infiltrator,,,,Amateur,,,ninjask.png,
292,0292,Shedinja,Bug,Ghost,1,2,5,1,3,2,4,1,3,1,3,Wonder Guard,,,,,,Ace,N,,shedinja.png,
293,0293,Whismur,Normal,,3,2,4,1,3,1,3,2,5,1,3,Soundproof,,Rattled,,Yes,,Starter,,,whismur.png,Yes
294,0294,Loudred,Normal,,4,2,5,2,4,1,3,2,5,1,3,Soundproof,,Scrappy,,Yes,,Amateur,,,loudred.png,
295,0295,Exploud,Normal,,6,2,5,2,4,1,4,2,5,2,5,Soundproof,,Scrappy,,,,Ace,,,exploud.png,
296,0296,Makuhita,Fighting,,3,2,4,1,3,1,3,1,3,1,3,Thick Fat,Guts,Sheer Force,,Yes,,Beginner,,,makuhita.png,Yes
297,0297,Hariyama,Fighting,,7,3,7,2,4,2,4,1,3,2,4,Thick Fat,Guts,Sheer Force,,,,Amateur,,,hariyama.png,
298,0298,Azurill,Normal,Fairy,3,1,3,1,3,1,3,1,3,1,3,Thick Fat,Huge Power,Sap Sipper,,Yes,,Starter,,,azurill.png,Yes
